threshold,precision,recall,f1,fpr
0.1,0.0815018315018315,0.9270833333333334,0.14983164983164984,0.9085144927536232
0.15,0.08713910761154856,0.8645833333333334,0.15832141154029566,0.7875905797101449
0.2,0.0967536600891152,0.7916666666666666,0.17243335224049916,0.6426630434782609
0.25,0.0993485342019544,0.6354166666666666,0.17183098591549295,0.5009057971014492
0.3,0.11363636363636363,0.546875,0.1881720430107527,0.37092391304347827
0.35,0.125,0.4270833333333333,0.19339622641509435,0.259963768115942
0.4,0.16778523489932887,0.390625,0.2347417840375587,0.16847826086956522
0.45,0.22972972972972974,0.3541666666666667,0.2786885245901639,0.10326086956521739
0.5,0.3105263157894737,0.3072916666666667,0.3089005235602094,0.059329710144927536
0.55,0.41044776119402987,0.2864583333333333,0.3374233128834356,0.035778985507246376
0.6,0.5510204081632653,0.28125,0.3724137931034483,0.019927536231884056
