threshold,precision,recall,f1,false_positive_rate
0.1,0.08204102051025512,1.0,0.1516412390198798,0.9994553376906318
0.15,0.08261964735516372,1.0,0.1526291298278269,0.9918300653594772
0.2,0.0859704641350211,0.9939024390243902,0.15825242718446603,0.9438997821350763
0.25,0.09195402298850575,0.975609756097561,0.16806722689075632,0.8605664488017429
0.3,0.10297029702970296,0.9512195121951219,0.18582489577129244,0.7401960784313726
0.35,0.11314741035856574,0.8658536585365854,0.20014094432699084,0.6062091503267973
0.4,0.12669245647969052,0.7987804878048781,0.21869782971619364,0.4918300653594771
0.45,0.14320388349514562,0.7195121951219512,0.2388663967611336,0.38453159041394336
0.5,0.16666666666666666,0.6707317073170732,0.2669902912621359,0.2995642701525055
0.55,0.19433198380566802,0.5853658536585366,0.2917933130699088,0.2167755991285403
0.6,0.21937321937321938,0.4695121951219512,0.29902912621359223,0.14923747276688454
